,0
1205,2.2969265
1206,2.5227919
1207,2.9438007
1208,0.68129694
1209,2.3530688
1210,2.4086847
1211,2.9647555
1212,0.68129694
1213,0.68129694
1214,2.8440485
1215,2.9179497
1216,2.4488564
1217,2.9807897
1218,0.68129694
1219,2.3530688
1220,2.960857
1221,2.9671679
1222,2.8713384
1223,2.944274
1224,2.944274
1225,2.4058876
1226,2.9388165
1227,2.949253
1228,2.957182
1229,2.9705253
1230,0.68129694
1231,2.944274
1232,2.949253
1233,2.944274
1234,2.2969265
1235,2.948688
1236,2.4058876
1237,2.2969265
1238,2.4488564
1239,2.5884757
1240,2.960857
1241,2.960857
1242,2.4488564
1243,2.9438007
1244,2.4868803
1245,2.9328368
1246,2.949253
1247,2.4868803
1248,2.9801757
1249,2.4058876
1250,0.68129694
1251,2.938365
1252,2.9807897
1253,2.9647555
1254,0.68129694
1255,2.5227919
1256,0.68129694
1257,2.2969265
1258,2.3218231
1259,2.4086847
1260,2.9900322
1261,2.4086847
1262,2.977304
1263,2.9438007
1264,2.9093041
1265,2.9537158
1266,2.4086847
1267,2.938365
1268,2.957182
1269,2.949253
1270,2.1224706
1271,2.4488564
1272,2.9531355
1273,2.9106336
1274,2.9705253
1275,2.4488564
1276,0.68129694
1277,2.960857
1278,2.8713384
1279,2.9837344
1280,0.68129694
1281,2.9251976
1282,2.857665
1283,2.2969265
1284,2.4086847
1285,2.2969265
1286,2.949253
1287,2.4058876
1288,2.9531355
1289,2.0108767
1290,2.4058876
1291,0.68129694
1292,2.9647555
1293,2.2969265
1294,2.4058876
1295,0.68129694
1296,2.948688
1297,2.9531355
1298,2.2969265
1299,2.9262874
1300,2.9471521
1301,2.9328368
1302,2.4086847
1303,2.9309633
1304,2.9577556
1305,2.9438007
1306,2.9388165
1307,0.68129694
1308,2.9377146
1309,0.68129694
1310,2.982323
1311,2.9652774
1312,0.68129694
1313,0.68129694
1314,2.2969265
1315,2.960857
1316,0.68129694
1317,2.2969265
1318,2.5227919
1319,2.9801757
1320,2.2969265
1321,2.3530688
1322,2.4868803
1323,2.9531355
1324,0.68129694
1325,2.5884757
1326,2.8713384
1327,2.2751334
1328,2.2751334
1329,2.9251976
1330,2.8713384
1331,2.944274
1332,2.9025269
1333,2.4086847
1334,2.4086847
1335,2.9730015
1336,0.68129694
1337,2.2751334
1338,2.972362
1339,0.68129694
1340,2.925756
1341,2.938365
1342,2.949253
1343,0.68129694
1344,2.987925
1345,0.68129694
1346,2.9671679
1347,2.3530688
1348,2.9614153
1349,2.9438007
1350,2.9323518
1351,2.2969265
1352,2.3530688
1353,2.9438007
1354,2.5566382
1355,2.949253
1356,2.5227919
1357,2.949253
1358,0.68129694
1359,2.5884757
1360,2.938365
1361,2.366343
1362,2.9752457
1363,2.5227919
1364,2.9244483
1365,2.9882913
1366,2.957182
1367,2.957182
1368,2.944274
1369,2.6183681
1370,2.4868803
1371,2.3530688
1372,2.938365
1373,0.68129694
1374,2.960857
1375,2.9317844
1376,2.9647555
1377,2.4058876
1378,2.881387
1379,2.8805456
1380,0.68129694
1381,0.68129694
1382,2.9600885
1383,2.4086847
1384,2.2374907
1385,2.5566382
1386,2.2969265
